"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), for "" facilities in All Industries,"" for "" All chemicals, "" By State, ""U.S."", ""2022"
"Row #","State","Total On-site","Total Off-site","Total On- and "
"39","Tennessee","           1,084.8466099","             328.4340265","           1,413.2806364"
"40","Texas","           7,442.6058750","          14,013.9219038","          21,456.5277788"
"41","Utah","           3,320.1204467","               5.3636310","           3,325.4840777"
"42","Virginia","               8.9890492","              14.1932041","              23.1822533"
"43","Washington","              13.4861056","              28.1716759","              41.6577815"
"44","West Virginia","              15.8156365","              31.0830000","              46.8986365"
"45","Wisconsin","             153.8633521","              24.4821161","             178.3454682"
"46","Wyoming","              16.4693480",".","              16.4693480"
"47","Guam","                .5300000",".","                .5300000"
"48","Puerto Rico","               2.2985000",".","               2.2985000"
"49","Virgin Islands","                .2490000",".","                .2490000"
"Total of All States","          25,698.6445712","          31,562.4190077","          57,261.0635789"
"Reporting year (RY) 2022 is the most recent TRI data available. Facilities reporting to TRI were required to submit their data to EPA by July 1 for the previous calendar year's activities.  TRI Explorer is using the 2022 Dataset (released October 2023). This dataset includes revisions for the years 1988 to 2022 processed by EPA. Revisions submitted to EPA after this time are not reflected in TRI Explorer reports."
"Users of TRI information should be aware that TRI data reflect releases and other waste management activities of chemicals, not whether (or to what degree) the public has been exposed to those chemicals. TRI data, in conjunction with other information, can be used as a starting point in evaluating exposures that may result from releases and other waste management activities which involve toxic chemicals. The determination of potential risk depends upon many factors, including the toxicity of the chemical, the fate of the chemical, and the amount and duration of human or other exposure to the chemical after it is released."
"Off-site disposal or other releases show only net off-site disposal or other releases, that is, off-site disposal or other releases transferred to other TRI facilities reporting such transfers as on-site disposal or other releases are not included to avoid double counting."
"For purposes of analysis, data reported as Range Code A is calculated using a value of 5 pounds, Range Code B is calculated using a value of 250 pounds and Range Code C is calculated using a value of 750 pounds."
"A decimal point, or . denotes the following:
if a decimal point is reported across an entire row, the facility submitted a Form A (i.e., the facility certified that its total annual reportable amount is less than 500 pounds, and does not manufacture, process, or otherwise use more than 1 million pounds); or
if a decimal point is reported in a single column, the facility left that particular cell blank in its Form R submission (a zero in a cell denotes either that the facility reported 0 or NA in its Form R submission)."
"This report may not include all states in the US. A state may not be included in this report for two reasons: (1) there are no facilities reporting to TRI in the particular state; or (2) the facilities reporting to TRI in the particular state did not report to TRI for the user-specified selection criteria."
"<u>How to cite TRI Explorer.</u>    Following APA Style, 6th edition, an appropriate citation to TRI Explorer is:<br/>United States Environmental Protection Agency. (2023). <i>TRI Explorer</i> (2022 Dataset (released October 2023)) [Internet database]. Retrieved from <a href=https://enviro.epa.gov/triexplorer/tri_release.chemical>https://enviro.epa.gov/triexplorer/</a>, (October  31, 2023)."
